zipcode,zone,trange,zonetitle
08846,7a,0 to 5,7a: 0 to 5
08848,7a,0 to 5,7a: 0 to 5
08850,7a,0 to 5,7a: 0 to 5
08852,7a,0 to 5,7a: 0 to 5
08853,7a,0 to 5,7a: 0 to 5
08854,7a,0 to 5,7a: 0 to 5
08855,7a,0 to 5,7a: 0 to 5
08857,7a,0 to 5,7a: 0 to 5
08858,7a,0 to 5,7a: 0 to 5
08859,7a,0 to 5,7a: 0 to 5
08861,7b,5 to 10,7b: 5 to 10
08862,7b,5 to 10,7b: 5 to 10
08863,7b,5 to 10,7b: 5 to 10
08865,7a,0 to 5,7a: 0 to 5
08867,7a,0 to 5,7a: 0 to 5
08868,7a,0 to 5,7a: 0 to 5
08869,7a,0 to 5,7a: 0 to 5
08870,7a,0 to 5,7a: 0 to 5
08871,7a,0 to 5,7a: 0 to 5
08872,7a,0 to 5,7a: 0 to 5
08873,7a,0 to 5,7a: 0 to 5
08875,7a,0 to 5,7a: 0 to 5
08876,7a,0 to 5,7a: 0 to 5
08879,7b,5 to 10,7b: 5 to 10
08880,7a,0 to 5,7a: 0 to 5
08882,7a,0 to 5,7a: 0 to 5
08884,7a,0 to 5,7a: 0 to 5
08885,7a,0 to 5,7a: 0 to 5
08886,7a,0 to 5,7a: 0 to 5
08887,7a,0 to 5,7a: 0 to 5
08888,7a,0 to 5,7a: 0 to 5
08889,7a,0 to 5,7a: 0 to 5
08890,7a,0 to 5,7a: 0 to 5
08899,7a,0 to 5,7a: 0 to 5
08901,7a,0 to 5,7a: 0 to 5
08902,7a,0 to 5,7a: 0 to 5
08903,7a,0 to 5,7a: 0 to 5
08904,7a,0 to 5,7a: 0 to 5
08906,7a,0 to 5,7a: 0 to 5
08933,7a,0 to 5,7a: 0 to 5
08989,7a,0 to 5,7a: 0 to 5
10001,7b,5 to 10,7b: 5 to 10
10002,7b,5 to 10,7b: 5 to 10
10003,7b,5 to 10,7b: 5 to 10
10004,7b,5 to 10,7b: 5 to 10
10005,7b,5 to 10,7b: 5 to 10
10008,7b,5 to 10,7b: 5 to 10
10009,7b,5 to 10,7b: 5 to 10
10010,7b,5 to 10,7b: 5 to 10
10011,7b,5 to 10,7b: 5 to 10
10012,7b,5 to 10,7b: 5 to 10
10013,7b,5 to 10,7b: 5 to 10
10014,7b,5 to 10,7b: 5 to 10
10016,7b,5 to 10,7b: 5 to 10
10017,7b,5 to 10,7b: 5 to 10
10018,7b,5 to 10,7b: 5 to 10
10019,7b,5 to 10,7b: 5 to 10
10021,7b,5 to 10,7b: 5 to 10
10022,7b,5 to 10,7b: 5 to 10
10023,7b,5 to 10,7b: 5 to 10
10024,7b,5 to 10,7b: 5 to 10
10025,7b,5 to 10,7b: 5 to 10
10026,7b,5 to 10,7b: 5 to 10
10027,7b,5 to 10,7b: 5 to 10
10028,7b,5 to 10,7b: 5 to 10
10029,7b,5 to 10,7b: 5 to 10
10030,7b,5 to 10,7b: 5 to 10
10031,7b,5 to 10,7b: 5 to 10
10032,7b,5 to 10,7b: 5 to 10
10033,7b,5 to 10,7b: 5 to 10
10034,7b,5 to 10,7b: 5 to 10
10035,7b,5 to 10,7b: 5 to 10
10036,7b,5 to 10,7b: 5 to 10
10038,7b,5 to 10,7b: 5 to 10
10040,7b,5 to 10,7b: 5 to 10
10041,7b,5 to 10,7b: 5 to 10
10043,7b,5 to 10,7b: 5 to 10
10045,7b,5 to 10,7b: 5 to 10
10055,7b,5 to 10,7b: 5 to 10
10060,7b,5 to 10,7b: 5 to 10
10065,7b,5 to 10,7b: 5 to 10
10075,7b,5 to 10,7b: 5 to 10
10080,7b,5 to 10,7b: 5 to 10
10081,7b,5 to 10,7b: 5 to 10
10087,7b,5 to 10,7b: 5 to 10
10090,7b,5 to 10,7b: 5 to 10
10101,7b,5 to 10,7b: 5 to 10
10102,7b,5 to 10,7b: 5 to 10
10103,7b,5 to 10,7b: 5 to 10
10104,7b,5 to 10,7b: 5 to 10
10105,7b,5 to 10,7b: 5 to 10
10106,7b,5 to 10,7b: 5 to 10
10107,7b,5 to 10,7b: 5 to 10
10108,7b,5 to 10,7b: 5 to 10
10109,7b,5 to 10,7b: 5 to 10
10110,7b,5 to 10,7b: 5 to 10
10111,7b,5 to 10,7b: 5 to 10
10112,7b,5 to 10,7b: 5 to 10
10113,7b,5 to 10,7b: 5 to 10
10114,7b,5 to 10,7b: 5 to 10
10115,7b,5 to 10,7b: 5 to 10
10116,7b,5 to 10,7b: 5 to 10
10117,7b,5 to 10,7b: 5 to 10
10118,7b,5 to 10,7b: 5 to 10
10119,7b,5 to 10,7b: 5 to 10
10120,7b,5 to 10,7b: 5 to 10
10121,7b,5 to 10,7b: 5 to 10
10122,7b,5 to 10,7b: 5 to 10
10123,7b,5 to 10,7b: 5 to 10
10124,7b,5 to 10,7b: 5 to 10
10125,7b,5 to 10,7b: 5 to 10
10126,7b,5 to 10,7b: 5 to 10
10128,7b,5 to 10,7b: 5 to 10
10129,7b,5 to 10,7b: 5 to 10
10130,7b,5 to 10,7b: 5 to 10
10131,7b,5 to 10,7b: 5 to 10
10132,7b,5 to 10,7b: 5 to 10
10133,7b,5 to 10,7b: 5 to 10
10138,7b,5 to 10,7b: 5 to 10
10150,7b,5 to 10,7b: 5 to 10
10151,7b,5 to 10,7b: 5 to 10
10152,7b,5 to 10,7b: 5 to 10
10153,7b,5 to 10,7b: 5 to 10
10154,7b,5 to 10,7b: 5 to 10
10155,7b,5 to 10,7b: 5 to 10
10156,7b,5 to 10,7b: 5 to 10
10157,7b,5 to 10,7b: 5 to 10
10158,7b,5 to 10,7b: 5 to 10
10159,7b,5 to 10,7b: 5 to 10
10160,7b,5 to 10,7b: 5 to 10
10162,7b,5 to 10,7b: 5 to 10
10163,7b,5 to 10,7b: 5 to 10
10164,7b,5 to 10,7b: 5 to 10
10165,7b,5 to 10,7b: 5 to 10
10166,7b,5 to 10,7b: 5 to 10
10167,7b,5 to 10,7b: 5 to 10
10169,7b,5 to 10,7b: 5 to 10
10170,7b,5 to 10,7b: 5 to 10
10171,7b,5 to 10,7b: 5 to 10
10172,7b,5 to 10,7b: 5 to 10
10173,7b,5 to 10,7b: 5 to 10
10174,7b,5 to 10,7b: 5 to 10
10175,7b,5 to 10,7b: 5 to 10
10176,7b,5 to 10,7b: 5 to 10
10177,7b,5 to 10,7b: 5 to 10
10178,7b,5 to 10,7b: 5 to 10
10179,7b,5 to 10,7b: 5 to 10
10185,7b,5 to 10,7b: 5 to 10
10199,7b,5 to 10,7b: 5 to 10
10203,7b,5 to 10,7b: 5 to 10
10211,7b,5 to 10,7b: 5 to 10
10212,7b,5 to 10,7b: 5 to 10
10213,7b,5 to 10,7b: 5 to 10
10242,7b,5 to 10,7b: 5 to 10
10249,7b,5 to 10,7b: 5 to 10
10256,7b,5 to 10,7b: 5 to 10
10258,7b,5 to 10,7b: 5 to 10
10259,7b,5 to 10,7b: 5 to 10
10260,7b,5 to 10,7b: 5 to 10
10261,7b,5 to 10,7b: 5 to 10
10265,7b,5 to 10,7b: 5 to 10
10268,7b,5 to 10,7b: 5 to 10
10269,7b,5 to 10,7b: 5 to 10
10270,7b,5 to 10,7b: 5 to 10
10271,7b,5 to 10,7b: 5 to 10
10272,7b,5 to 10,7b: 5 to 10
10273,7b,5 to 10,7b: 5 to 10
10274,7b,5 to 10,7b: 5 to 10
10275,7b,5 to 10,7b: 5 to 10
10276,7b,5 to 10,7b: 5 to 10
10277,7b,5 to 10,7b: 5 to 10
10278,7b,5 to 10,7b: 5 to 10
10279,7b,5 to 10,7b: 5 to 10
10280,7b,5 to 10,7b: 5 to 10
10282,7b,5 to 10,7b: 5 to 10
10285,7b,5 to 10,7b: 5 to 10
10286,7b,5 to 10,7b: 5 to 10
10301,7b,5 to 10,7b: 5 to 10
10302,7b,5 to 10,7b: 5 to 10
10303,7b,5 to 10,7b: 5 to 10
10304,7b,5 to 10,7b: 5 to 10
10305,7b,5 to 10,7b: 5 to 10
10306,7b,5 to 10,7b: 5 to 10
10307,7b,5 to 10,7b: 5 to 10
10308,7b,5 to 10,7b: 5 to 10
10309,7b,5 to 10,7b: 5 to 10
10310,7b,5 to 10,7b: 5 to 10
10311,7b,5 to 10,7b: 5 to 10
10312,7b,5 to 10,7b: 5 to 10
10313,7b,5 to 10,7b: 5 to 10
10314,7b,5 to 10,7b: 5 to 10
10451,7b,5 to 10,7b: 5 to 10
10452,7b,5 to 10,7b: 5 to 10
10453,7b,5 to 10,7b: 5 to 10
10454,7b,5 to 10,7b: 5 to 10
10455,7b,5 to 10,7b: 5 to 10
10456,7b,5 to 10,7b: 5 to 10
10457,7b,5 to 10,7b: 5 to 10
10458,7b,5 to 10,7b: 5 to 10
10459,7b,5 to 10,7b: 5 to 10
10460,7b,5 to 10,7b: 5 to 10
10461,7b,5 to 10,7b: 5 to 10
10462,7b,5 to 10,7b: 5 to 10
10463,7b,5 to 10,7b: 5 to 10
10464,7b,5 to 10,7b: 5 to 10
10465,7b,5 to 10,7b: 5 to 10
10466,7b,5 to 10,7b: 5 to 10
10467,7b,5 to 10,7b: 5 to 10
10468,7b,5 to 10,7b: 5 to 10
10469,7b,5 to 10,7b: 5 to 10
10470,7b,5 to 10,7b: 5 to 10
10471,7b,5 to 10,7b: 5 to 10
10472,7b,5 to 10,7b: 5 to 10
10473,7b,5 to 10,7b: 5 to 10
10474,7b,5 to 10,7b: 5 to 10
10475,7b,5 to 10,7b: 5 to 10
10501,6b,-5 to 0,6b: -5 to 0
10502,7a,0 to 5,7a: 0 to 5
10503,7a,0 to 5,7a: 0 to 5
10504,7a,0 to 5,7a: 0 to 5
10505,6b,-5 to 0,6b: -5 to 0
10506,7a,0 to 5,7a: 0 to 5
10507,7a,0 to 5,7a: 0 to 5
10509,6b,-5 to 0,6b: -5 to 0
10510,7a,0 to 5,7a: 0 to 5
10511,7a,0 to 5,7a: 0 to 5
10512,6b,-5 to 0,6b: -5 to 0
10514,7a,0 to 5,7a: 0 to 5
10516,6b,-5 to 0,6b: -5 to 0
10517,7a,0 to 5,7a: 0 to 5
10518,6b,-5 to 0,6b: -5 to 0
10519,6b,-5 to 0,6b: -5 to 0
10520,7a,0 to 5,7a: 0 to 5
10521,7a,0 to 5,7a: 0 to 5
10522,7a,0 to 5,7a: 0 to 5
10523,7a,0 to 5,7a: 0 to 5
10524,6b,-5 to 0,6b: -5 to 0
10526,7a,0 to 5,7a: 0 to 5
10527,6b,-5 to 0,6b: -5 to 0
10528,7b,5 to 10,7b: 5 to 10
10530,7a,0 to 5,7a: 0 to 5
10532,7a,0 to 5,7a: 0 to 5
10533,7a,0 to 5,7a: 0 to 5
10535,6b,-5 to 0,6b: -5 to 0
10536,7a,0 to 5,7a: 0 to 5
10537,6b,-5 to 0,6b: -5 to 0
10538,7b,5 to 10,7b: 5 to 10
10540,6b,-5 to 0,6b: -5 to 0
10541,6b,-5 to 0,6b: -5 to 0
10542,6b,-5 to 0,6b: -5 to 0
10543,7b,5 to 10,7b: 5 to 10
10545,7a,0 to 5,7a: 0 to 5
10546,7a,0 to 5,7a: 0 to 5
10547,6b,-5 to 0,6b: -5 to 0
10548,7a,0 to 5,7a: 0 to 5
10549,7a,0 to 5,7a: 0 to 5
10550,7b,5 to 10,7b: 5 to 10
10551,7b,5 to 10,7b: 5 to 10
10552,7b,5 to 10,7b: 5 to 10
10553,7b,5 to 10,7b: 5 to 10
10560,6b,-5 to 0,6b: -5 to 0
10562,7a,0 to 5,7a: 0 to 5
10566,7a,0 to 5,7a: 0 to 5
10567,7a,0 to 5,7a: 0 to 5
10570,7a,0 to 5,7a: 0 to 5
10573,7b,5 to 10,7b: 5 to 10
10576,6b,-5 to 0,6b: -5 to 0
10577,7a,0 to 5,7a: 0 to 5
10578,7a,0 to 5,7a: 0 to 5
10579,6b,-5 to 0,6b: -5 to 0
10580,7b,5 to 10,7b: 5 to 10
10583,7a,0 to 5,7a: 0 to 5
10587,6b,-5 to 0,6b: -5 to 0
10588,6b,-5 to 0,6b: -5 to 0
10589,6b,-5 to 0,6b: -5 to 0
10590,6b,-5 to 0,6b: -5 to 0
10591,7a,0 to 5,7a: 0 to 5
10594,7a,0 to 5,7a: 0 to 5
10595,7a,0 to 5,7a: 0 to 5
10596,7a,0 to 5,7a: 0 to 5
10597,6b,-5 to 0,6b: -5 to 0
10598,7a,0 to 5,7a: 0 to 5
10601,7a,0 to 5,7a: 0 to 5
10602,7a,0 to 5,7a: 0 to 5
10603,7a,0 to 5,7a: 0 to 5
10604,7a,0 to 5,7a: 0 to 5
10605,7a,0 to 5,7a: 0 to 5
10606,7a,0 to 5,7a: 0 to 5
10607,7a,0 to 5,7a: 0 to 5
10610,7a,0 to 5,7a: 0 to 5
10701,7b,5 to 10,7b: 5 to 10
10702,7b,5 to 10,7b: 5 to 10
10703,7a,0 to 5,7a: 0 to 5
10704,7b,5 to 10,7b: 5 to 10
10705,7b,5 to 10,7b: 5 to 10
10706,7a,0 to 5,7a: 0 to 5
10707,7b,5 to 10,7b: 5 to 10
10708,7b,5 to 10,7b: 5 to 10
10709,7b,5 to 10,7b: 5 to 10
10710,7b,5 to 10,7b: 5 to 10
10801,7b,5 to 10,7b: 5 to 10
10802,7b,5 to 10,7b: 5 to 10
10803,7b,5 to 10,7b: 5 to 10
10804,7b,5 to 10,7b: 5 to 10
10805,7b,5 to 10,7b: 5 to 10
10901,7a,0 to 5,7a: 0 to 5
10910,6b,-5 to 0,6b: -5 to 0
10911,7a,0 to 5,7a: 0 to 5
10912,6b,-5 to 0,6b: -5 to 0
10913,7a,0 to 5,7a: 0 to 5
10914,6b,-5 to 0,6b: -5 to 0
10915,6b,-5 to 0,6b: -5 to 0
10916,6b,-5 to 0,6b: -5 to 0
10917,6b,-5 to 0,6b: -5 to 0
10918,6b,-5 to 0,6b: -5 to 0
10919,6b,-5 to 0,6b: -5 to 0
10920,7a,0 to 5,7a: 0 to 5
10921,6b,-5 to 0,6b: -5 to 0
10922,7a,0 to 5,7a: 0 to 5
10923,7a,0 to 5,7a: 0 to 5
10924,6b,-5 to 0,6b: -5 to 0
10925,6b,-5 to 0,6b: -5 to 0
10926,6b,-5 to 0,6b: -5 to 0
10927,7a,0 to 5,7a: 0 to 5
10928,7a,0 to 5,7a: 0 to 5
10930,6b,-5 to 0,6b: -5 to 0
10931,7a,0 to 5,7a: 0 to 5
10932,6b,-5 to 0,6b: -5 to 0
10933,6b,-5 to 0,6b: -5 to 0
10940,6b,-5 to 0,6b: -5 to 0
10941,6b,-5 to 0,6b: -5 to 0
10949,6b,-5 to 0,6b: -5 to 0
10950,6b,-5 to 0,6b: -5 to 0
10952,7a,0 to 5,7a: 0 to 5
10953,6b,-5 to 0,6b: -5 to 0
10954,7a,0 to 5,7a: 0 to 5
10956,7a,0 to 5,7a: 0 to 5
10958,6b,-5 to 0,6b: -5 to 0
10959,6b,-5 to 0,6b: -5 to 0
10960,7a,0 to 5,7a: 0 to 5
10962,7a,0 to 5,7a: 0 to 5
10963,6b,-5 to 0,6b: -5 to 0
10964,7a,0 to 5,7a: 0 to 5
10965,7a,0 to 5,7a: 0 to 5
10968,7a,0 to 5,7a: 0 to 5
10969,6b,-5 to 0,6b: -5 to 0
10970,7a,0 to 5,7a: 0 to 5
10973,6b,-5 to 0,6b: -5 to 0
10974,7a,0 to 5,7a: 0 to 5
10975,6b,-5 to 0,6b: -5 to 0
10976,7a,0 to 5,7a: 0 to 5
10977,7a,0 to 5,7a: 0 to 5
10979,6b,-5 to 0,6b: -5 to 0
10980,6b,-5 to 0,6b: -5 to 0
10981,6b,-5 to 0,6b: -5 to 0
10982,7a,0 to 5,7a: 0 to 5
10983,7a,0 to 5,7a: 0 to 5
10984,7a,0 to 5,7a: 0 to 5
10985,6b,-5 to 0,6b: -5 to 0
10986,7a,0 to 5,7a: 0 to 5
10987,6b,-5 to 0,6b: -5 to 0
10988,6b,-5 to 0,6b: -5 to 0
10989,7a,0 to 5,7a: 0 to 5
10990,6b,-5 to 0,6b: -5 to 0
10992,6b,-5 to 0,6b: -5 to 0
10993,7a,0 to 5,7a: 0 to 5
10994,7a,0 to 5,7a: 0 to 5
10996,6b,-5 to 0,6b: -5 to 0
10997,7a,0 to 5,7a: 0 to 5
10998,6b,-5 to 0,6b: -5 to 0
11001,7b,5 to 10,7b: 5 to 10
11002,7b,5 to 10,7b: 5 to 10
11003,7b,5 to 10,7b: 5 to 10
11004,7b,5 to 10,7b: 5 to 10
11005,7b,5 to 10,7b: 5 to 10
11010,7b,5 to 10,7b: 5 to 10
11020,7b,5 to 10,7b: 5 to 10
11021,7b,5 to 10,7b: 5 to 10
11022,7b,5 to 10,7b: 5 to 10
11023,7b,5 to 10,7b: 5 to 10
11024,7b,5 to 10,7b: 5 to 10
11026,7b,5 to 10,7b: 5 to 10
11027,7b,5 to 10,7b: 5 to 10
11030,7b,5 to 10,7b: 5 to 10
11040,7b,5 to 10,7b: 5 to 10
11042,7b,5 to 10,7b: 5 to 10
11050,7b,5 to 10,7b: 5 to 10
11051,7b,5 to 10,7b: 5 to 10
11052,7b,5 to 10,7b: 5 to 10
11053,7b,5 to 10,7b: 5 to 10
11054,7b,5 to 10,7b: 5 to 10
11055,7b,5 to 10,7b: 5 to 10
11096,7b,5 to 10,7b: 5 to 10
11101,7b,5 to 10,7b: 5 to 10
11102,7b,5 to 10,7b: 5 to 10
11103,7b,5 to 10,7b: 5 to 10
11104,7b,5 to 10,7b: 5 to 10
11105,7b,5 to 10,7b: 5 to 10
11106,7b,5 to 10,7b: 5 to 10
11120,7b,5 to 10,7b: 5 to 10
11201,7b,5 to 10,7b: 5 to 10
11202,7b,5 to 10,7b: 5 to 10
11203,7b,5 to 10,7b: 5 to 10
11204,7b,5 to 10,7b: 5 to 10
11205,7b,5 to 10,7b: 5 to 10
11206,7b,5 to 10,7b: 5 to 10
11207,7b,5 to 10,7b: 5 to 10
11208,7b,5 to 10,7b: 5 to 10
11209,7b,5 to 10,7b: 5 to 10
11210,7b,5 to 10,7b: 5 to 10
11211,7b,5 to 10,7b: 5 to 10
11212,7b,5 to 10,7b: 5 to 10
11213,7b,5 to 10,7b: 5 to 10
11214,7b,5 to 10,7b: 5 to 10
11215,7b,5 to 10,7b: 5 to 10
11216,7b,5 to 10,7b: 5 to 10
11217,7b,5 to 10,7b: 5 to 10
11218,7b,5 to 10,7b: 5 to 10
11219,7b,5 to 10,7b: 5 to 10
11220,7b,5 to 10,7b: 5 to 10
11221,7b,5 to 10,7b: 5 to 10
11222,7b,5 to 10,7b: 5 to 10
11223,7b,5 to 10,7b: 5 to 10
11224,7b,5 to 10,7b: 5 to 10
11225,7b,5 to 10,7b: 5 to 10
11226,7b,5 to 10,7b: 5 to 10
11228,7b,5 to 10,7b: 5 to 10
11229,7b,5 to 10,7b: 5 to 10
11230,7b,5 to 10,7b: 5 to 10
11231,7b,5 to 10,7b: 5 to 10
11232,7b,5 to 10,7b: 5 to 10
11233,7b,5 to 10,7b: 5 to 10
11234,7b,5 to 10,7b: 5 to 10
11235,7b,5 to 10,7b: 5 to 10
11236,7b,5 to 10,7b: 5 to 10
11237,7b,5 to 10,7b: 5 to 10
11238,7b,5 to 10,7b: 5 to 10
11239,7b,5 to 10,7b: 5 to 10
11241,7b,5 to 10,7b: 5 to 10
11242,7b,5 to 10,7b: 5 to 10
11243,7b,5 to 10,7b: 5 to 10
11245,7b,5 to 10,7b: 5 to 10
11247,7b,5 to 10,7b: 5 to 10
11249,7b,5 to 10,7b: 5 to 10
11256,7b,5 to 10,7b: 5 to 10
11351,7b,5 to 10,7b: 5 to 10
11352,7b,5 to 10,7b: 5 to 10
11354,7b,5 to 10,7b: 5 to 10
11355,7b,5 to 10,7b: 5 to 10
11356,7b,5 to 10,7b: 5 to 10
11357,7b,5 to 10,7b: 5 to 10
11358,7b,5 to 10,7b: 5 to 10
11359,7b,5 to 10,7b: 5 to 10
11360,7b,5 to 10,7b: 5 to 10
11361,7b,5 to 10,7b: 5 to 10
11362,7b,5 to 10,7b: 5 to 10
11363,7b,5 to 10,7b: 5 to 10
11364,7b,5 to 10,7b: 5 to 10
11365,7b,5 to 10,7b: 5 to 10
11366,7b,5 to 10,7b: 5 to 10
11367,7b,5 to 10,7b: 5 to 10
11368,7b,5 to 10,7b: 5 to 10
11369,7b,5 to 10,7b: 5 to 10
11370,7b,5 to 10,7b: 5 to 10
11371,7b,5 to 10,7b: 5 to 10
11372,7b,5 to 10,7b: 5 to 10
11373,7b,5 to 10,7b: 5 to 10
11374,7b,5 to 10,7b: 5 to 10
11375,7b,5 to 10,7b: 5 to 10
11377,7b,5 to 10,7b: 5 to 10
11378,7b,5 to 10,7b: 5 to 10
11379,7b,5 to 10,7b: 5 to 10
11380,7b,5 to 10,7b: 5 to 10
11381,7b,5 to 10,7b: 5 to 10
11385,7b,5 to 10,7b: 5 to 10
11386,7b,5 to 10,7b: 5 to 10
11405,7b,5 to 10,7b: 5 to 10
11411,7b,5 to 10,7b: 5 to 10
11412,7b,5 to 10,7b: 5 to 10
11413,7b,5 to 10,7b: 5 to 10
11414,7b,5 to 10,7b: 5 to 10
11415,7b,5 to 10,7b: 5 to 10
11416,7b,5 to 10,7b: 5 to 10
11417,7b,5 to 10,7b: 5 to 10
11418,7b,5 to 10,7b: 5 to 10
11419,7b,5 to 10,7b: 5 to 10
11420,7b,5 to 10,7b: 5 to 10
11421,7b,5 to 10,7b: 5 to 10
11422,7b,5 to 10,7b: 5 to 10
11423,7b,5 to 10,7b: 5 to 10
11424,7b,5 to 10,7b: 5 to 10
11425,7b,5 to 10,7b: 5 to 10
11426,7b,5 to 10,7b: 5 to 10
11427,7b,5 to 10,7b: 5 to 10
11428,7b,5 to 10,7b: 5 to 10
11429,7b,5 to 10,7b: 5 to 10
11430,7b,5 to 10,7b: 5 to 10
11431,7b,5 to 10,7b: 5 to 10
11432,7b,5 to 10,7b: 5 to 10
11433,7b,5 to 10,7b: 5 to 10
11434,7b,5 to 10,7b: 5 to 10
11435,7b,5 to 10,7b: 5 to 10
11436,7b,5 to 10,7b: 5 to 10
11439,7b,5 to 10,7b: 5 to 10
11451,7b,5 to 10,7b: 5 to 10
11499,7b,5 to 10,7b: 5 to 10
11501,7b,5 to 10,7b: 5 to 10
11507,7b,5 to 10,7b: 5 to 10
11509,7b,5 to 10,7b: 5 to 10
11510,7b,5 to 10,7b: 5 to 10
11514,7b,5 to 10,7b: 5 to 10
11516,7b,5 to 10,7b: 5 to 10
11518,7b,5 to 10,7b: 5 to 10
11520,7b,5 to 10,7b: 5 to 10
11530,7b,5 to 10,7b: 5 to 10
11531,7b,5 to 10,7b: 5 to 10
11542,7b,5 to 10,7b: 5 to 10
11545,7b,5 to 10,7b: 5 to 10
11547,7b,5 to 10,7b: 5 to 10
11548,7b,5 to 10,7b: 5 to 10
11549,7b,5 to 10,7b: 5 to 10
11550,7b,5 to 10,7b: 5 to 10
11551,7b,5 to 10,7b: 5 to 10
11552,7b,5 to 10,7b: 5 to 10
11553,7b,5 to 10,7b: 5 to 10
11554,7b,5 to 10,7b: 5 to 10
11555,7b,5 to 10,7b: 5 to 10
11556,7b,5 to 10,7b: 5 to 10
11557,7b,5 to 10,7b: 5 to 10
11558,7b,5 to 10,7b: 5 to 10
11559,7b,5 to 10,7b: 5 to 10
11560,7b,5 to 10,7b: 5 to 10
11561,7b,5 to 10,7b: 5 to 10
11563,7b,5 to 10,7b: 5 to 10
11565,7b,5 to 10,7b: 5 to 10
11566,7b,5 to 10,7b: 5 to 10
11568,7b,5 to 10,7b: 5 to 10
11569,7b,5 to 10,7b: 5 to 10
11570,7b,5 to 10,7b: 5 to 10
11571,7b,5 to 10,7b: 5 to 10
11572,7b,5 to 10,7b: 5 to 10
11575,7b,5 to 10,7b: 5 to 10
11576,7b,5 to 10,7b: 5 to 10
11577,7b,5 to 10,7b: 5 to 10
11579,7b,5 to 10,7b: 5 to 10
11580,7b,5 to 10,7b: 5 to 10
11581,7b,5 to 10,7b: 5 to 10
11582,7b,5 to 10,7b: 5 to 10
11590,7b,5 to 10,7b: 5 to 10
11596,7b,5 to 10,7b: 5 to 10
11598,7b,5 to 10,7b: 5 to 10
11599,7b,5 to 10,7b: 5 to 10
11690,7b,5 to 10,7b: 5 to 10
11691,7b,5 to 10,7b: 5 to 10
11692,7b,5 to 10,7b: 5 to 10
11693,7b,5 to 10,7b: 5 to 10
11694,7b,5 to 10,7b: 5 to 10
11695,7b,5 to 10,7b: 5 to 10
11697,7b,5 to 10,7b: 5 to 10
11701,7b,5 to 10,7b: 5 to 10
11702,7b,5 to 10,7b: 5 to 10
11703,7b,5 to 10,7b: 5 to 10
11704,7b,5 to 10,7b: 5 to 10
11705,7b,5 to 10,7b: 5 to 10
11706,7b,5 to 10,7b: 5 to 10
11707,7b,5 to 10,7b: 5 to 10
11709,7b,5 to 10,7b: 5 to 10
11710,7b,5 to 10,7b: 5 to 10
11713,7a,0 to 5,7a: 0 to 5
11714,7b,5 to 10,7b: 5 to 10
11715,7b,5 to 10,7b: 5 to 10
11716,7b,5 to 10,7b: 5 to 10
11717,7b,5 to 10,7b: 5 to 10
11718,7b,5 to 10,7b: 5 to 10
11719,7a,0 to 5,7a: 0 to 5
11720,7b,5 to 10,7b: 5 to 10
11721,7b,5 to 10,7b: 5 to 10
11722,7b,5 to 10,7b: 5 to 10
11724,7b,5 to 10,7b: 5 to 10
11725,7b,5 to 10,7b: 5 to 10
11726,7b,5 to 10,7b: 5 to 10
11727,7b,5 to 10,7b: 5 to 10
11729,7b,5 to 10,7b: 5 to 10
11730,7b,5 to 10,7b: 5 to 10
11731,7b,5 to 10,7b: 5 to 10
11732,7b,5 to 10,7b: 5 to 10
11733,7b,5 to 10,7b: 5 to 10
11735,7b,5 to 10,7b: 5 to 10
11737,7b,5 to 10,7b: 5 to 10
11738,7b,5 to 10,7b: 5 to 10
11739,7b,5 to 10,7b: 5 to 10
11740,7b,5 to 10,7b: 5 to 10
11741,7b,5 to 10,7b: 5 to 10
11742,7b,5 to 10,7b: 5 to 10
11743,7b,5 to 10,7b: 5 to 10
11746,7b,5 to 10,7b: 5 to 10
11747,7b,5 to 10,7b: 5 to 10
11749,7b,5 to 10,7b: 5 to 10
11751,7b,5 to 10,7b: 5 to 10
11752,7b,5 to 10,7b: 5 to 10
11753,7b,5 to 10,7b: 5 to 10
11754,7b,5 to 10,7b: 5 to 10
11755,7b,5 to 10,7b: 5 to 10
11756,7b,5 to 10,7b: 5 to 10
11757,7b,5 to 10,7b: 5 to 10
11758,7b,5 to 10,7b: 5 to 10
11760,7b,5 to 10,7b: 5 to 10
11762,7b,5 to 10,7b: 5 to 10
11763,7a,0 to 5,7a: 0 to 5
11764,7b,5 to 10,7b: 5 to 10
11765,7b,5 to 10,7b: 5 to 10
11766,7b,5 to 10,7b: 5 to 10
11767,7b,5 to 10,7b: 5 to 10
11768,7b,5 to 10,7b: 5 to 10
11769,7b,5 to 10,7b: 5 to 10
11771,7b,5 to 10,7b: 5 to 10
11772,7a,0 to 5,7a: 0 to 5
11773,7b,5 to 10,7b: 5 to 10
11775,7b,5 to 10,7b: 5 to 10
11776,7b,5 to 10,7b: 5 to 10
11777,7b,5 to 10,7b: 5 to 10
11778,7b,5 to 10,7b: 5 to 10
11779,7b,5 to 10,7b: 5 to 10
11780,7b,5 to 10,7b: 5 to 10
11782,7b,5 to 10,7b: 5 to 10
11783,7b,5 to 10,7b: 5 to 10
11784,7b,5 to 10,7b: 5 to 10
11786,7b,5 to 10,7b: 5 to 10
11787,7b,5 to 10,7b: 5 to 10
11788,7b,5 to 10,7b: 5 to 10
11789,7b,5 to 10,7b: 5 to 10
11790,7b,5 to 10,7b: 5 to 10
