Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other Uses,Link
Carya floridana,Scrub Hickory,Tree,20.0,-,,LMH,N,DM,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Carya floridana
Carya glabra,"Sweet Pignut, Pignut hickory, Broom Hickory, Pignut Hickory",Tree,30.0,4-9,S,LMH,N,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Carya glabra
Carya glabra megacarpa,Coastal Pignut Hickory,Tree,30.0,4-8,S,LMH,N,M,3,0,,https://pfaf.org/user/Plant.aspx?LatinName=Carya glabra megacarpa
Carya hybrids,Hybrid and neohybrid hickories,Tree,40.0,4-11,M,LMH,N,DM,4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Carya hybrids
Carya illinoinensis,Pecan,Tree,50.0,5-9,M,LMH,N,M,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya illinoinensis
Carya laciniosa,Shellbark Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Carya laciniosa
Carya myristiciformis,Nutmeg Hickory,Tree,30.0,8-11,S,LMH,N,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya myristiciformis
Carya ovalis,Sweet Pignut,Tree,30.0,5-9,S,LMH,N,M,3,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya ovalis
Carya ovata,Shagbark Hickory,Tree,30.0,4-8,S,LMH,N,DM,3,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Carya ovata
Carya pallida,Sand Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya pallida
Carya texana,Black Hickory,Tree,15.0,5-9,S,LMH,N,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya texana
Carya tomentosa,"Mockernut,White Heart Hickory, Mockernut  Hickory",Tree,30.0,4-9,M,LMH,N,DM,3,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Carya tomentosa
Carya x laneyi,,Tree,20.0,4-8,S,LMH,N,M,3,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Carya x laneyi
Caryocar brasiliense,"Pequi, Souari nut",Tree,10.0,10-12,S,LMH,N,DM,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Caryocar brasiliense
Caryocar nuciferum,Souari Nut. Butter Nut,Tree,45.0,10-12,M,LMH,N,M,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Caryocar nuciferum
Caryocar villosum,Piquia,Tree,30.0,10-12,S,LMH,N,M,3,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Caryocar villosum
Caryodendron orinocense,"Taccy Nut, Nuez de Barinas",Tree,25.0,10-12,F,LMH,N,M,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Caryodendron orinocense
Caryota urens,"Jaggary Palm, Toddy Palm, Fishtail Wine Palm",Tree,12.0,9-12,M,LMH,FSN,M,4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Caryota urens
Casimiroa edulis,"White Sapote, Mexican Apple",Tree,16.0,8-11,M,LMH,N,M,5,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Casimiroa edulis
Cassia fistula,"Golden Shower, Purging Cassia, Golden Chain Tree, Indian Laburnum",Tree,18.0,9-11,S,LMH,N,M,1,4,2,https://pfaf.org/user/Plant.aspx?LatinName=Cassia fistula
Cassia grandis,"Coral shower, Horse Cassia",Tree,25.0,10-12,F,LMH,N,M,1,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cassia grandis
Cassia leiandra,Marimari,Tree,10.0,9-11,F,MH,N,MWe,4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cassia leiandra
Cassia sieberiana,West African Laburnum,Tree,15.0,10-12,M,LMH,N,DM,1,4,2,https://pfaf.org/user/Plant.aspx?LatinName=Cassia sieberiana
Cassinia fulvida,,Shrub,2.0,8-11,,LMH,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cassinia fulvida
Cassiope tetragona,White Arctic Mountain Heather,Shrub,0.3,3-7,,LM,S,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cassiope tetragona
Cassythia glabella,Devil's Twine,Climber,0.0,-,,LMH,SN,M,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Cassythia glabella
Castanea alnifolia,Bush Chinkapin,Shrub,1.0,6-9,,LMH,N,DM,3,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanea alnifolia
Castanea crenata,Japanese Chestnut,Tree,9.0,4-8,,LMH,SN,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea crenata
Castanea dentata,American Sweet Chestnut,Tree,30.0,4-8,,LMH,SN,DM,3,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea dentata
Castanea henryi,,Tree,25.0,5-9,,LMH,SN,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea henryi
Castanea mollissima,Chinese Chestnut,Tree,25.0,4-8,M,LMH,SN,DM,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea mollissima
Castanea ozarkensis,Ozark Chinkapin,Tree,18.0,5-9,,LMH,SN,DM,3,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Castanea ozarkensis
Castanea pumila,"Chinquapin, Ozark chinkapin",Shrub,4.0,4-8,S,LMH,N,DM,4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanea pumila
Castanea pumila ashei,Chinquapin,Shrub,5.0,6-9,,LMH,N,DM,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanea pumila ashei
Castanea sativa,"Sweet Chestnut, European chestnut",Tree,30.0,5-7,M,LMH,N,DM,5,2,5,https://pfaf.org/user/Plant.aspx?LatinName=Castanea sativa
Castanea seguinii,Chinese Chinquapin,Tree,10.0,5-9,M,LMH,N,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea seguinii
Castanea species,Chestnut Hybrids,Tree,30.0,4-9,F,LMH,SN,DM,4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Castanea species
Castanea x neglecta,Chinknut,Shrub,4.0,4-8,S,LMH,N,DM,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanea x neglecta
Castanopsis acuminatissima,"Castanopsis chestnut, White oak",Tree,25.0,10-12,F,LMH,N,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis acuminatissima
Castanopsis cuspidata,Japanese Chinquapin,Tree,25.0,6-9,,MH,S,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis cuspidata
Castanopsis delavayi,,Tree,15.0,7-10,,MH,S,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis delavayi
Castanopsis hystrix,,Tree,30.0,-,,MH,S,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis hystrix
Castanopsis inermis,"Braided Chestnut, Berangan",Tree,20.0,10-12,F,LMH,SN,M,3,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis inermis
Castanopsis javanica,"Spiny oak, Java chinkapin tree",Tree,25.0,10-12,M,LMH,SN,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis javanica
Castanopsis orthacantha,,Tree,20.0,7-10,,MH,S,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis orthacantha
Castanopsis sclerophylla,,Tree,0.0,-,,MH,S,M,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis sclerophylla
Castanopsis tibetana,,Tree,0.0,-,,MH,S,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis tibetana
Castanopsis tribuloides,,Tree,8.0,-,,MH,S,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Castanopsis tribuloides
Castanospermum australe,Moreton Bay Chestnut,Tree,25.0,8-12,S,LMH,N,M,4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Castanospermum australe
Castilla elastica,Panama Rubber Tree. Mastate blanco,Tree,40.0,10-12,F,LMH,N,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castilla elastica
Castilla ulei,Caucho Negro,Tree,30.0,10-12,M,LMH,N,M,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Castilla ulei
Castilleja linariaefolia,Wyoming Indian Paintbrush,Perennial,0.6,-,,LMH,SN,M,1,2,,https://pfaf.org/user/Plant.aspx?LatinName=Castilleja linariaefolia
Casuarina cristata,Belah,Tree,12.0,8-11,F,LMH,N,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina cristata
Casuarina cunninghamiana,River She-Oak,Tree,18.0,8-11,,LMH,N,DM,0,0,5,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina cunninghamiana
Casuarina equisetifolia,"She Oak, Common Ru, Australian Pine, Horsetail Casuarina",Tree,30.0,9-12,F,LMH,SN,DM,1,2,5,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina equisetifolia
Casuarina glauca,"Swamp Oak, Gray sheoak",Tree,18.0,8-11,,LM,N,DM,1,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina glauca
Casuarina littoralis,"She Oak, Black she-oak",Tree,8.0,8-11,,LMH,N,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina littoralis
Casuarina oligodon,"She-oak, kilu",Tree,25.0,10-12,M,LMH,N,M,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina oligodon
Casuarina torulosa,Forest Oak,Tree,15.0,8-11,,LMH,N,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina torulosa
Casuarina verticillata,Drooping she-oak,Tree,10.0,8-11,,LMH,N,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Casuarina verticillata
Catabrosa aquatica,Water WhirlGrass,Perennial,0.7,3-7,,LMH,SN,WeWa,1,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Catabrosa aquatica
Catalpa bignonioides,"Indian Bean Tree, Southern catalpa",Tree,15.0,5-9,M,LMH,N,M,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Catalpa bignonioides
Catalpa bungei,,Tree,10.0,5-9,,LMH,SN,M,0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Catalpa bungei
Catalpa ovata,Chinese Catalpa,Tree,10.0,5-9,F,LMH,N,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Catalpa ovata
Catalpa speciosa,"Shawnee Wood, Northern catalpa, Early Flowering Catalpa, Hardy Catalpa, Western Catalpa, Indian Ciga",Tree,15.0,4-9,F,LMH,N,M,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Catalpa speciosa
Catharanthus roseus,"Madagascar Periwinkle, Jasmine, Cayenne Old Maid Periwinkle",Perennial,0.7,9-12,F,LMH,SN,M,1,4,1,https://pfaf.org/user/Plant.aspx?LatinName=Catharanthus roseus
Caucalis platycarpos,"Small Bur-Parsley, Carrot bur parsley",Annual,0.3,0-0,,LMH,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Caucalis platycarpos
Caulanthus glaucus,Glaucous wild cabbage,Perennial,0.6,0-0,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Caulanthus glaucus
Caulophyllum robustum,Papoose Root,Perennial,0.3,6-9,,LM,FS,M,2,2,,https://pfaf.org/user/Plant.aspx?LatinName=Caulophyllum robustum
Caulophyllum thalictroides,"Papoose Root,  Blue cohosh",Perennial,0.5,6-9,,LM,FS,M,1,3,,https://pfaf.org/user/Plant.aspx?LatinName=Caulophyllum thalictroides
Cautleya spicata,,Perennial,1.0,7-10,,LM,SN,M,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Cautleya spicata
Cavendishia alatum,,,0.0,-,,LMH,SN,M,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Cavendishia alatum
Ceanothus americanus,"New Jersey Tea, Wild Snowball",Shrub,1.2,4-9,F,LM,SN,DM,3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus americanus
Ceanothus arboreus,"Catalina Mountain Lilac, Feltleaf ceanothus",Shrub,7.0,8-10,M,LM,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus arboreus
Ceanothus cuneatus,"Buckbrush,  Sedgeleaf buckbrush,  	Monterey ceanothus",Shrub,1.8,6-9,F,LM,SN,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus cuneatus
Ceanothus divergens,"Cropleaf Ceanothus, Calistoga ceanothus",Shrub,1.5,7-10,,LM,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus divergens
Ceanothus fendleri,Fendler's Ceanothus,Shrub,2.0,4-8,F,LM,SN,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus fendleri
Ceanothus impressus,Santa Barbara Ceanothus,Shrub,1.5,7-9,M,LM,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus impressus
Ceanothus integerrimus,Deer Brush,Shrub,4.0,6-9,,LM,SN,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus integerrimus
Ceanothus maritimus,Maritime Ceanothus,Shrub,1.0,7-10,,LM,SN,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus maritimus
Ceanothus ovatus,Smaller Red-Root,Shrub,1.0,4-8,,LM,SN,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus ovatus
Ceanothus prostratus,"Squaw Carpet, Prostrate ceanothus",Shrub,0.1,6-9,,LM,SN,DM,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus prostratus
Ceanothus purpureus,Hollyleaf Ceanothus,Shrub,2.0,7-10,,LM,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus purpureus
Ceanothus sanguineus,"Oregon Tea Tree, Redstem ceanothus",Shrub,2.0,4-8,,LM,SN,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus sanguineus
Ceanothus species,,Shrub,2.0,5-9,,LMH,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus species
Ceanothus thyrsiflorus,"Blue Brush, Blueblossom",Shrub,4.5,7-9,M,LM,SN,DM,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus thyrsiflorus
Ceanothus velutinus,"Sticky Laurel,  Snowbrush ceanothus, Hooker's ceanothus",Shrub,2.5,4-8,,LM,SN,DM,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Ceanothus velutinus
Cecropia peltata,"Trumpet Tree, Snakewood, Congo pump, Wild pawpaw, Pop-a-gun",Tree,20.0,9-12,F,LMH,N,M,3,3,5,https://pfaf.org/user/Plant.aspx?LatinName=Cecropia peltata
Cedrela fissilis,"Cedro, Cigar Box Tree",Tree,25.0,10-12,F,LMH,SN,M,0,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Cedrela fissilis
Cedrela odorata,"Cedar Wood, West Indian Cedar, SpanishCedar, Cigar-box Cedar, Cedro Hembra",Tree,30.0,9-12,F,LMH,SN,M,1,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Cedrela odorata
Cedrelopsis grevei,"Katrafay, Kathrafay",Tree,22.0,10-12,S,LMH,N,DM,2,4,3,https://pfaf.org/user/Plant.aspx?LatinName=Cedrelopsis grevei
Cedronella canariensis,"Balm Of Gilead, Herb of gilead",Perennial,1.5,8-11,,LMH,SN,M,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Cedronella canariensis
Cedrus atlantica,"Atlas Deodar, Atlantic cedar",Tree,25.0,5-9,M,LMH,N,DM,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cedrus atlantica
Cedrus deodara,"Deodar, Deodar cedar",Tree,33.0,7-9,M,LMH,N,DM,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Cedrus deodara
Cedrus libani,Cedar Of Lebanon,Tree,30.0,5-8,S,LMH,N,DM,1,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Cedrus libani
Ceiba aesculifolia,Pochote,Tree,25.0,10-12,M,LMH,N,DM,2,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Ceiba aesculifolia
Ceiba pentandra,"Kapok Tree, Cotton Tree, Suma'ma",Tree,50.0,10-12,F,MH,N,DM,3,3,5,https://pfaf.org/user/Plant.aspx?LatinName=Ceiba pentandra
Celastrus angulatus,,Climber,7.3,4-8,F,LMH,FSN,M,0,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Celastrus angulatus
Celastrus dependens,,Climber,0.0,7-10,,LMH,SN,M,1,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Celastrus dependens
Celastrus flagellaris,,Climber,7.5,4-8,F,LMH,SN,M,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Celastrus flagellaris
Celastrus orbiculatus,Oriental Bittersweet,Climber,12.0,4-8,F,LM,FSN,M,1,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Celastrus orbiculatus
Celastrus scandens,"Climbing Bittersweet, American bittersweet",Climber,8.0,3-8,F,LMH,FSN,M,2,2,,https://pfaf.org/user/Plant.aspx?LatinName=Celastrus scandens
Celosia argentea cristata,"Lagos Spinach, Common Cockscomb",Annual,0.5,9-12,F,LMH,SN,DM,4,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Celosia argentea cristata
Celtis australis,"Nettle Tree, European hackberry",Tree,20.0,5-9,M,LM,N,DM,3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis australis
Celtis boninensis,,Tree,0.0,-,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis boninensis
Celtis bungeana,Bunge's hackberry,Tree,10.0,4-8,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis bungeana
Celtis caucasica,Caucasian hackberry,Tree,20.0,5-9,,LM,N,DM,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis caucasica
Celtis glycycarpa,,Tree,0.0,-,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis glycycarpa
Celtis jessoensis,,Tree,15.0,5-9,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis jessoensis
Celtis koraiensis,,Tree,12.0,4-8,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis koraiensis
Celtis laevigata,"Sugarberry, Netleaf hackberry, Texan sugarberry, Sugar  Hackberry",Tree,18.0,5-10,M,LMH,N,DM,2,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Celtis laevigata
Celtis laveillei,,Tree,0.0,-,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis laveillei
Celtis lindheimeri,"Palo Blanco, Lindheimer's hackberry",Tree,10.0,0-0,,LM,N,DM,2,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Celtis lindheimeri
Celtis occidentalis,"Hackberry, Common hackberry",Tree,20.0,3-9,F,LM,N,DM,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis occidentalis
Celtis pallida,Desert Hackberry,Tree,5.5,-,,LM,N,DM,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Celtis pallida
Celtis reticulata,"Paloblanco, Netleaf hackberry",Tree,12.0,5-9,S,LM,N,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis reticulata
Celtis sinensis,Chinese hackberry,Tree,10.0,8-11,M,LM,N,DM,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis sinensis
Celtis tenuifolia,"Small Hackberry, Dwarf hackberry",Tree,4.5,5-9,,LM,N,DM,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis tenuifolia
Celtis tetrandra,,Tree,20.0,-,,LM,N,DM,2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Celtis tetrandra
Celtis tournefortii,Oriental hackberry,Tree,8.0,6-9,,LM,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Celtis tournefortii
Centaurea acaulis,,Perennial,0.0,-,,LMH,N,DM,0,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea acaulis
Centaurea calcitrapa,"Common Star Thistle, Red star-thistle",Biennial,0.6,0-0,,LMH,N,DM,1,1,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea calcitrapa
Centaurea chamaerhaponticum,,,0.0,-,,LMH,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea chamaerhaponticum
Centaurea cyanus,"Cornflower, Garden cornflower, Blue Bottle, Cornflower",Annual,1.0,0-0,F,LMH,N,DM,2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea cyanus
Centaurea depressa,Iranian knapweed,Annual/Perennial,0.3,6-9,,LMH,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea depressa
Centaurea iberica,"Iberian Star Thistle, Iberian knapweed",Biennial,0.9,5-9,,LMH,N,DM,1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea iberica
Centaurea jacea,Brown Knapweed,Perennial,0.6,5-9,,LMH,N,DM,1,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea jacea
Centaurea melitensis,Maltese Star Thistle,Annual,0.5,6-9,,LMH,N,DM,0,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea melitensis
Centaurea montana,"Mountain Cornflower, Perennial cornflower,  Mountain Bluet",Perennial,0.5,3-9,F,LMH,N,DM,0,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea montana
Centaurea nigra,"Black Knapweed, Lesser knapweed",Perennial,0.6,4-8,,LMH,N,DM,1,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea nigra
Centaurea raphanina,,Perennial,0.0,-,,LMH,N,DM,1,0,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea raphanina
Centaurea scabiosa,Greater Knapweed,Perennial,0.9,4-8,,LMH,N,DM,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea scabiosa
Centaurea solstitialis,"St. Barnaby's Thistle, Yellow star-thistle",Annual/Biennial,0.6,5-9,,LMH,N,DM,1,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Centaurea solstitialis
Centaurium erythraea,"Centaury - Feverwort, European centaury",Annual/Biennial,0.3,0-0,,LM,SN,DM,1,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Centaurium erythraea
Centaurium spicatum,Spiked centaury,Annual/Biennial,0.6,0-0,,LM,SN,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Centaurium spicatum
Centella asiatica,"Gotu Kola, Spadeleaf",Perennial,0.2,7-10,,LMH,SN,MWe,2,5,1,https://pfaf.org/user/Plant.aspx?LatinName=Centella asiatica
Centipeda minima,Spreading Sneeze Weed,Annual,0.1,-,,LMH,SN,M,0,2,,https://pfaf.org/user/Plant.aspx?LatinName=Centipeda minima
Centranthus macrosiphon,,Annual,0.6,-,,LMH,N,DM,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Centranthus macrosiphon
Centranthus ruber,"Red Valerian, Fox's Brush, Jupiter's Beard",Perennial,0.9,5-8,M,LMH,N,DM,2,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Centranthus ruber
Centrolobium microchaete,Yellow tarara,Tree,20.0,10-12,F,LMH,SN,DM,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Centrolobium microchaete
Centrolobium sclerophyllum,Hard leaved tarara,Tree,20.0,10-12,F,LMH,N,DM,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Centrolobium sclerophyllum
Centrosema pubescens,"Centro, Butterfly pea",Perennial Climber,0.5,10-12,F,LMH,FSN,MWe,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Centrosema pubescens
Centrosema virginianum,"Butterfly Pea, Spurred butterfly pea",Perennial,2.0,5-9,,LM,N,DM,0,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Centrosema virginianum
Cephalanthus occidentalis,"Button Bush, Common buttonbush, Button Willow, Honey Bells, Buttonbush",Shrub,7.0,4-10,,LMH,SN,MWe,0,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Cephalanthus occidentalis
Cephalaria syriaca,"Makhobeli, Syrian cephalaria",Annual,0.0,0-0,,LMH,N,M,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cephalaria syriaca
Cephalostachyum pergracile,Tinwa Bamboo,Bamboo,10.0,10-12,S,LMH,SN,M,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalostachyum pergracile
Cephalotaxus fortunei,Chinese Plum Yew,Shrub,6.0,6-9,S,LMH,FSN,M,5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus fortunei
Cephalotaxus harringtonia,Japanese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus harringtonia
Cephalotaxus harringtonia drupacea,Japanese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus harringtonia drupacea
Cephalotaxus harringtonia koreana,Korean Plum Yew,Shrub,1.5,6-9,S,LMH,FS,M,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus harringtonia koreana
Cephalotaxus harringtonia nana,Japanese Plum Yew,Shrub,2.0,6-9,S,LMH,FS,M,5,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus harringtonia nana
Cephalotaxus lanceolata,Yunnan Plum Yew,Shrub,8.0,7-10,S,LMH,FSN,M,4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus lanceolata
Cephalotaxus oliveri,,Shrub,3.0,7-10,S,LMH,FSN,M,3,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus oliveri
Cephalotaxus sinensis,Chinese Plum Yew,Shrub,5.0,6-9,S,LMH,FS,M,4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus sinensis
Cephalotaxus wilsoniana,,Tree,10.0,7-10,S,LMH,FS,M,4,0,,https://pfaf.org/user/Plant.aspx?LatinName=Cephalotaxus wilsoniana
Cerastium arvense,"Field Mouse-Ear Chickweed, Field chickweed",Perennial,0.2,0-0,,LMH,N,DM,0,1,,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium arvense
Cerastium fontanum,"Chickweed, Common mouse-ear chickweed, Big chickweed",Annual/Perennial,0.3,5-10,,LMH,S,M,2,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium fontanum
Cerastium furcatum,,Perennial,0.5,-,,LMH,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium furcatum
Cerastium holosteoides,Common Mouse-Ear Chickweed,Annual/Perennial,0.3,-,,LMH,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium holosteoides
Cerastium semidecandrum,"Little Mouse-Ear Chickweed, Fivestamen chickweed",Annual,0.2,0-0,,LMH,N,M,2,0,,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium semidecandrum
Cerastium viscosum,sticky chickweed,Annual,0.3,-,,LMH,N,M,2,1,,https://pfaf.org/user/Plant.aspx?LatinName=Cerastium viscosum
